SGK-1 DAF-16
T04H1.2 F52C6.2
F42F12.3 PDI-3
PHAT-1 F53A2.7
F31C3.5 LMN-1
KLC-1 KCA-1
CGH-1 PDR-1
TTR-21 CUP-5
GEI-16 DRH-1
PSA-1 R07E5.3
NHR-111 C04F5.8
T07D4.2 AXL-1
APC-11 TAG-303
UGT-3 DPY-11
Y65B4A.7 EFL-1
F42A10.3 H02I12.5
NHR-67 PAL-1
Y51H4A.8 PSA-1
B0361.10 T23G7.3
GEI-16 C03A7.13
HPR-9 CYK-4
PQN-5 LYS-2
RAN-1 RPS-2
T24F1.2 CDC-37
MDF-2 F29G9.2
K09B11.9 ZK1073.2
KNL-2 HCP-3
T07C4.3 LEC-3
ALP-1 CIDS-2
EBI-312653 ACT-4
Y71H10A.2 F17E9.5
LEC-1 C07E3.3
GRS-1 SPK-1
RPY-1 K10D3.4
CKU-80 CKU-70
F13H10.1 BRP-1
Y51H4A.8 C03G6.17
SOC-2 W07G4.5
MRT-2 Y54G11A.11
MDF-2 HUM-5
ZIF-1 MEX-5
T04H1.2 ZC239.15
EYA-1 LST-1
EMB-30 MCM-2
GST-40 F55C12.1
LET-413 EBI-311877
DEL-4 W05E10.2
SMA-4 DPYD-1
K05B2.4 T11B7.1
LIN-36 ZK930.3
ATN-1 F14F11.2
UAF-1 MEL-11
ZYG-8 SAS-5
EYA-1 F54D8.6
MIG-5 MUA-6
ATN-1 UNC-51
MAT-3 FUM-1
T04H1.2 Y38E10A.14
Y17G7B.14 ACDH-1
BIR-1 ZK1240.2
NPP-19 DLG-1
PKC-2 PAR-6
C23G10.8 CEH-48
C25D7.8 LET-70
C01B10.3 T18D3.7
T12F5.1 GSK-3
PAS-6 PAS-2
ZK849.2 LST-1
GEI-4 T28A8.3
RPS-10 PHP-3
DAF-3 CPT-5
GSK-3 MAC-1
BIR-1 CSC-1
GEI-4 EPI-1
TPXL-1 RSA-2
GEI-16 RPL-11.2
PFD-5 PFD-6
DLC-1 H02I12.1
ALP-1 F27C1.2
MEI-1 MEL-26
SDZ-38 GSY-1
RGA-1 F18E2.1
MEL-26 MEL-26
PQN-71 SGT-1
GEI-4 LIN-36
TTX-1 TAG-208
PQN-54 ZK512.5
NHR-69 RAD-26
MIG-32 R102.5
MEI-1 GRS-1
RPL-2 DLG-1
ZK1098.5 KEL-8
TAG-208 ZFP-3
PAR-6 H06I04.1
VAB-3 C26G2.2
LEC-1 RPS-9
CES-2 ATF-2
GEI-4 F23H12.3
APC-11 CSN-5
GEI-16 F59C12.3
MTX-2 FUT-3
CSP-1 B0511.6
GEI-4 C03C10.4
TAC-1 ZYG-9
MTSS-1 NHR-22
PQN-54 LYS-8
ZK849.2 BATH-44
RPS-0 M01E5.3
TAG-208 C06G3.6
F13C5.3 RPS-10
PQN-54 RPL-7
DRH-1 F54D8.6
TZA-1 TZA-2
ERM-1 F57G4.5
VAB-3 H06I04.1
GEI-4 T16A9.3
T04H1.2 LNTL-1
ALP-1 ZK512.5
VAB-3 T06G6.3
ZK849.2 ADT-2
H06H21.3 EBI-1514941
SAS-6 TAC-1
T28C12.4 Y62E10A.10
Y75B8A.14 GOP-2
ELPC-4 PAL-1
TAG-59 RAN-1
GEI-16 F39H12.1
PAS-6 BRP-1
IMA-3 NXT-1
RPN-10 SPTL-1
KLC-2 UNC-16
ALP-1 RPL-2
RPS-10 F59B2.11
MDF-2 TAG-260
GST-23 RPT-3
KLP-15 ROL-8
SMA-4 Y48E1B.3
Y51H4A.8 H10E21.4
SGN-1 BAS-1
ZYG-8 TAG-210
NHR-49 NHR-19
F31A9.2 T08G5.5
DRH-1 PCCB-1
Y65B4BR.5 CC8.1
ELC-1 FEM-3
AIR-1 BATH-41
RPS-1 T07C4.1
PMK-1 CSN-5
IFB-2 RSA-2
PHAT-1 Y39B6A.1
SPD-5 SPD-2
DYB-1 GPD-3
MRT-2 Y32B12A.3
LIN-36 T21B6.3
MAT-3 CRT-1
C01B10.8 C46C11.3
DLC-1 SMO-1
C37A2.7 RLA-1
PQN-54 C34C12.5
DRH-1 ROP-1
CDC-48.1 IMA-1
NHR-67 UNC-37
ALP-1 F59A3.3
CNT-1 LMN-1
ZK1098.4 NUO-2
ABU-11 K02D3.2
CDC-37 R06B9.4
GPA-16 GPR-1
ABU-10 T21D12.11
T12A2.2 TAG-257
UGT-57 RAB-11.1
INX-14 TAG-331
ABCE-1 C07B5.3
EYA-1 NTL-2
ATP-3 DNC-1
TAC-1 C13F10.2
LYS-1 ABU-11
RPS-10 T24B8.5
SPD-5 SPD-5
DRH-1 ERI-3
GEI-4 T27A3.1
R02F11.1 Y47D9A.1
M01E5.2 GLN-6
PQN-5 T20F5.4
EMB-9 MEX-6
PQN-71 PPN-1
SEL-10 NHR-12
SPK-1 OBR-4
LIN-37 FAR-2
CSN-5 DNC-2
NPR-3 Y7A9D.1
F26B1.2 RPL-3
HUS-1 VIG-1
AAP-1 TSP-10
MIG-5 Y77E11A.7
APC-11 LEV-11
UGT-48 PQN-24
ABU-10 PPN-1
PMK-1 GRL-15
TPST-2 GSY-1
SDZ-38 ZC123.1
DNC-2 ATN-1
Y105E8A.11 UBL-1
SCRM-1 UNC-52
T04H1.2 FIGL-1
AIR-1 FIB-1
PBS-6 NHR-111
TAC-1 DLG-1
UNC-27 R02F11.1
F36D4.2 ZK1098.5
TAG-331 C35E7.5
IFF-1 Y17G7B.4
ATP-5 KLC-1
Y51H4A.8 F47H4.1
ATN-1 ZC239.15
MEK-1 C33G3.6
TAG-332 EBI-311877
ELPC-4 ATN-1
CHK-1 R03E1.2
MRT-2 F44D12.1
DDB-1 PCCB-1
CIR-1 RPT-4
SCRM-5 F37C4.5
TAG-331 Y38F1A.8
SKR-2 FBXA-101
STA-1 NEX-1
WDFY-2 Y38C1AA.7
CLS-2 HCP-2
AAK-2 NHR-6
EGL-45 FRS-1
GCL-1 F15C11.2
C27D9.1 SKR-1
Y38H6C.14 CUT-5
LIN-2 C44B12.5
ZYG-8 MIG-5
GEI-4 F20E11.5
T04H1.2 D1005.3
NLP-7 EBI-319936
Y17G7B.14 TYR-4
GEI-4 F53A10.2
F42G2.3 F38A5.7
GLC-2 ALH-9
MAT-3 ACDH-1
MIG-5 NSF-1
K09B11.9 COGC-4
NDC-80 F54D1.1
CPR-5 CIF-1
T07A5.3 SRH-87
NHR-49 NHR-13
T22F3.3 T24F1.2
ZYG-8 PDR-1
IKB-1 Y39B6A.1
F54D5.9 SKR-2
VAB-3 GLD-3
RAD-54 Y102A11A.2
PKC-1 C54E10.2
ZYG-8 ABU-11
SRP-6 CTSK
DRH-1 EBI-896024
ABU-11 PQN-54
W03D8.8 BRP-1
RPN-3 F19B10.1
GEI-4 NHR-41
C47D12.2 F52C6.2
F42H10.6 F42H10.6
T08G5.5 MCM-6
EBI-314130 K02F2.2
EYA-1 DYC-1
IMA-3 DOD-6
LIN-5 SPE-26
SPR-2 T05E7.1
SPK-1 B0035.1
Y106G6H.14 KEL-8
GAD-1 EBI-327322
C05C10.5 F54D10.7
DAF-3 DAF-5
PQN-71 W03G1.5
KLC-2 Y24D9A.8
GEI-17 CDK-9
VHA-16 FLH-1
HRS-1 LMN-1
GEI-4 T14E8.1
FLH-1 F38E11.5
CED-4 CASP8
PBS-5 ATN-1
SMA-2 CSN-5
ATN-1 GPR-1
T04H1.2 F23H11.5
Y71G12B.27 F42D1.2
NHR-32 C36F7.5
T04H1.2 VHA-1
R05G6.10 ADD-1
DCR-1 EBI-863698
ATN-1 EBI-328916
PAS-6 C06A8.1
MIG-5 RSP-4
ALP-1 LST-1
FKH-2 Y73C8B.3
T04H1.2 LST-1
F27C8.2 T08B2.5
C15H9.9 SGT-1
KIN-2 KBP-5
GST-5 Y51B9A.4
GSTO-1 T03F1.1
RPS-10 C40H1.2
EMB-30 PAL-1
IKB-1 EBI-314130
Y71G12B.27 CC8.1
ABI-1 VAB-3
Y71G12B.27 ZK370.8
GEI-16 DLK-1
C13F10.2 COGC-2
SEM-5 F54D5.15
RNH-1.3 F57B10.5
Y66H1B.2 K06H7.1
ZYG-1 SPDL-1
RAD-23 R06B9.3
HDA-1 NASP-1
C28H8.9 F36G3.1
PQN-5 F58F12.1
VPS-4 ATN-1
DAF-4 PQN-71
RSA-2 SPD-5
C13F10.2 GPR-1
DYB-1 IFP-1
PBS-6 F59C6.5
ATN-1 SMO-1
F08G2.5 TRA-4
ATN-1 ZK596.2
UNC-97 F46F11.7
NHR-114 T04H1.2
K09B11.9 T09A5.12
C33C12.3 F56F10.2
EYA-1 ZK121.2
C12D8.1 ZK849.2
CPL-1 ZK849.2
CDC-37 COL-146
CIF-1 NPP-4
GIP-1 RPL-6
DRH-1 CCT-8
CUL-2 RBX-1
LRX-1 C44B12.5
PDL-1 H02I12.5
ALP-1 F59E12.9
C14A4.11 ZK792.4
RPN-1 TAG-303
GEI-16 NUO-2
ALP-1 RPL-32
WEE-1.3 NDX-8
GLD-1 CC8.1
GPR-1 DLC-1
GEI-16 F53B1.3
ELB-1 SPK-1
Y55B1BR.4 VAB-3
SMA-4 MOG-4
PSR-1 TAG-303
R06B9.3 SCPL-1
T05B9.1 T05B9.1
M01F1.4 COL-101
GST-5 PBS-5
LIT-1 Y44E3A.6
PMK-1 CKY-1
GLY-5 PTR-2
Y71G12B.27 APC-2
NHR-49 NHR-22
PKC-2 CLEC-76
KLC-2 KLC-2
RSA-2 DLC-1
Y18D10A.8 IFE-1
NHR-69 TAG-260
MPK-1 FIGL-1
MPK-1 NPP-9
RFC-4 CCT-1
DLC-1 F10G8.8
ZK849.2 EOR-1
F38E11.5 Y57G11C.22
ABI-1 VAB-3
ZYG-8 PDI-3
DYB-1 IFB-2
RPN-6 C31H1.8
DNC-2 SAN-1
NPP-19 LEV-11
HIM-10 C32D5.11
EYA-1 Y54G2A.26
LEV-11 ATN-1
AKT-2 GSP-3
NHR-111 C15A7.2
ABU-11 W03G1.5
Y32H12A.4 R09A1.2
K09B11.9 ZK632.10
RPN-11 ATN-1
EYA-1 ASD-1
F08G5.1 GST-23
Y51H4A.8 CLEC-232
K09B11.9 UCR-1
DNC-2 KRS-1
IFF-1 SNR-4
DEL-4 T16G1.5
BATH-9 M02D8.4
SET-18 Y57A10A.8
Y71G12B.27 NHR-111
K09B11.9 LST-1
PAS-3 T08G5.5
T04C9.1 F29G6.3
RNH-1.3 NHR-41
GEI-4 T09B9.4
MIG-5 C34D1.4
GEI-4 Y119C1A.1
T22C8.3 Y49E10.23
ALP-1 T09A5.12
F23B12.5 NPP-19
VAB-3 HGRS-1
RUVB-1 CHC-1
TAG-331 DAF-16
COGC-4 DLG-1
SNX-1 Y38C1AA.7
DYB-1 B0365.1
C27F2.7 PAS-5
ATN-1 NPP-4
ZK131.11 NHR-41
GEI-16 LFI-1
CGT-2 W04A8.1
RFC-1 RFC-3
TAP-1 AIN-1
MRE-11 F45F2.11
SCC-1 K08F8.1
VPS-4 SPK-1
RAD-54 EFT-2
LMN-1 NPP-7
SEM-5 FTN-2
KLC-2 T10B11.6
F46G10.1 T04H1.2
PBS-6 CYK-3
GEI-4 Y44E3A.6
HGRS-1 STAM-1
RPL-6 T07C4.1
T04H1.2 F57C9.4
CRM-1 T22F7.3
MPK-1 F54D5.5
MPK-1 DEB-1
E01A2.1 GCS-1
SMA-4 ASP-1
STA-1 RPL-4
MEX-6 C14C11.2
LIN-36 EBI-311967
CRM-1 F53A9.1
ATN-1 F14D7.3
LIN-15A C27H5.2
T23C6.5 T06C10.3
DRH-1 CCT-1
TAG-257 EBI-322679
Y38H6C.14 H06I04.1
PBS-6 C06A8.1
BIR-1 EBI-327104
F59B2.3 F25H5.3
SMA-4 GPD-1
KLP-4 B0414.8
Y17G7B.14 K04H4.2
VAV-1 PAL-1
RAD-23 MDF-1
SMA-3 NPP-8
PRX-14 EBI-314130
NHR-67 ZK1098.4
NHR-49 NHR-76
BUB-3 F36D1.1
CSP-1 F46H5.7
Y51H4A.8 T28F4.4
GEI-4 LIR-1
ALP-1 NOS-3
LST-1 COGC-4
K10D2.4 EBI-1514941
Y113G7B.15 W03G1.5
C16A3.5 BATH-42
K09B11.9 LIN-8
ALP-1 DLG-1
ALP-1 F10A3.4
LET-49 MDT-21
F23H12.2 ZK822.4
R12B2.2 NDC-80
CGH-1 LET-49
RPN-2 EBI-314893
CYK-4 CRM-1
KIN-2 Y40D12A.2
MDF-2 CPR-4
HCP-3 EBI-1514941
NHR-111 SCRM-1
MPK-1 GIT-1
Y63D3A.4 F46F5.15
LET-49 AMA-1
GEI-16 ELKS-1
SNX-1 CUP-2
CRM-1 F16B4.5
ATN-1 GPC-1
T04H1.2 C06A6.2
TAP-1 F46H5.3
TBG-1 LET-75
LMN-1 LMN-1
SQV-4 SMO-1
ATN-1 H24G06.1
T12B3.4 RPS-7
ATN-1 RPL-7
APC-11 PFD-5
LIN-36 IFA-1
GEI-16 R02F2.5
C26B2.1 GSY-1
MIG-15 HSP-1
Y63D3A.4 ACL-9
KGB-1 GLH-1
MIG-5 SAS-6
ATN-1 Y77E11A.7
DRH-1 C42D4.3
CKS-1 C06C3.8
VAB-3 K09B11.9
LIN-5 RPL-4
ZK849.2 T26C12.3
C01B10.8 PSA-1
C49G7.1 MUP-2
C56G2.7 RPL-18
C16C8.11 C16C8.11
C12D8.1 PSA-1
GCL-1 F07A11.2
EIF-3.K C17G10.9
F54D10.7 T01B7.5
F31C3.2 SMO-1
TAG-197 MIG-5
F46G11.1 F43G6.8
PRP-21 Y39B6A.12
SNX-1 RET-1
C12D8.1 OMA-2
NHR-111 T10B11.5
DRH-1 T08B2.7
NFYB-1 NFYC-1
NPP-19 F28H7.2
Y63D3A.4 Y77E11A.7
RAD-54 F13D12.6
MES-4 ZK795.1
LIN-36 IRS-1
KLE-2 RAN-1
SCRM-5 NPL-4.2
F32B4.4 TAG-208
ZK849.2 RHGF-2
B0238.12 RPL-4
KLP-7 NFYB-1
KLP-15 NPP-10
FBXB-118 MRT-2
NHR-91 DVE-1
TWK-14 CPR-1
F54C8.4 NSF-1
LRS-2 HUM-1
NHR-111 F15C11.2
C47D12.2 C31H5.4
CYK-4 F02H6.3
ZK849.2 F57G12.2
GST-23 DIM-1
COGC-4 C36B1.8
C06E4.2 RPS-10
DYB-1 ATN-1
APC-11 D1046.1
KIN-2 C18B2.5
LRX-1 CLEC-266
GEI-16 Y40C5A.1
NPP-2 SPK-1
GSTO-3 Y47D7A.13
RSA-2 PAA-1
EBI-1179655 KBP-4
CRM-1 B0507.1
RNF-1 F27C1.6
DLC-1 LRR-1
CKU-80 F59A2.5
RFC-1 PCN-1
GEI-16 F15E6.3
K09B11.9 LLC1.2
EIF-3.D F42A10.5
D1007.5 NPP-20
CLS-2 HCP-1
F25H5.3 ZK593.1
TIR-1 Y43B11AR.1
T24F1.2 SUN-1
EBI-322193 H02I12.5
K09B11.9 Y53H1A.1
F42A10.3 W09C5.8
C12D8.1 MEX-6
SEL-10 Y41C4A.12
LIT-1 NFI-1
MDF-2 TCL-2
ZK1098.4 CKS-1
B0507.1 T21H3.1
DRH-1 ZTF-4
MAT-2 MEI-2
CRM-1 C54D2.2
T04H1.2 F54C9.11
NPP-10 TAC-1
TBB-1 PLK-1
PIK-1 PHP-3
ATN-1 CLEC-1
ADD-1 F08F3.4
RPS-10 C25F9.4
LIN-5 RETR-1
CKS-1 ZK1240.2
MEI-2 GEI-17
KIN-2 NHR-48
RUVB-2 EGL-26
T04H1.2 EBI-322859
SYN-13 F17E9.5
C05C8.6 GST-24
CES-1 SGT-1
C05D11.10 HCP-1
VAB-3 MEG-2
F42A10.3 DAF-21
LAG-1 F25D1.5
C27A2.5 Y39B6A.1
T10F2.4 STR-38
ZIM-1 GFL-1
SEL-10 SKR-1
TAC-1 F36A2.7
MIG-5 K03H6.2
ELB-1 ELC-1
SLI-1 TAG-208
DYB-1 Y59A8B.22
MIG-5 IFA-1
HIM-10 Y34B4A.6
ALP-1 C06E7.4
SAS-4 CHC-1
PQN-5 ABU-8
TAG-208 GRD-7
F01F1.12 T27A3.1
Y65B4BR.5 C02B8.3
GCL-1 F41C6.6
ZK1128.2 R07B7.2
BIR-1 NHR-66
ZEN-4 EBI-314130
ZYG-1 LEV-11
MAT-2 EMB-8
PAS-4 LEV-11
K09B11.9 EYA-1
PQN-95 F30H5.3
APY-1 SGT-1
RAN-1 Y24F12A.2
SNX-1 C18E9.9
LIN-36 EOR-1
TAG-218 LIM-8
IMA-3 T12F5.1
PQN-5 PQN-5
IFG-1 ATN-1
RUVB-1 ATP-2
TAG-208 NHL-1
NHR-111 GRD-6
CDK-1 PAL-1
PAS-6 ZK1098.4
RAN-1 C56E6.3
KIN-2 C14B1.8
TAG-331 ELO-2
TBG-1 DAD-1
SKR-1 FSN-1
C13F10.7 C13F10.7
THOC-2 F44B9.8
RPA-2 MAU-8
CUL-2 ELC-1
T04H1.2 UNC-15
F54D10.7 F54D10.7
T20F5.6 TAG-170
LIN-5 B0303.15
ATN-1 H06H21.3
DRH-1 T04A8.7
RNH-1.3 F25B3.6
LGC-12 NHR-35
LIN-37 F59A2.3
TAG-325 MLC-4
B0035.12 ATN-1
SMA-3 ZK1055.7
DRH-1 TFG-1
RABN-5 NHR-111
TAG-331 T04F8.8
MPK-1 F47B10.2
NHR-111 WWP-1
KLE-2 PRP-21
ACO-2 CIR-1
NHR-67 F49H12.3
DRH-1 K08F4.2
ATN-1 PQN-59
VAB-3 ABL-1
UNC-11 Y55B1BR.4
LEV-11 LRS-1
TAP-1 RPL-2
ACT-2 ACT-2
PQN-5 PQN-95
F42A10.3 KEL-8
RPL-6 Y62E10A.2
F31C3.2 NMY-2
GEI-4 PAK-1
CUL-2 CAND-1
T04H1.2 ZC15.3
IKB-1 EBI-314141
THOC-2 F56D3.1
F13H8.2 ODR-4
PAS-4 DNC-2
RPS-10 MUA-1
F26H11.4 F54D10.7
Y17G9B.5 IMB-3
NHR-49 NHR-105
VALV-1 SET-14
VIT-6 ZK1127.5
T20H4.5 MEX-3
EBI-311967 ZFP-3
PSR-1 F36G3.1
THOC-2 RACK-1
DLC-1 IFG-1
GCL-1 GCL-1
COGC-4 EMB-9
PDL-1 PRX-5
PAR-6 PAR-3
PPH-4.1 F25B3.5
TAG-208 CEH-17
EYA-1 F54C8.7
Y57A10C.6 CC8.1
BATH-40 CUL-3
CPL-1 EGL-45
DNC-2 W10G11.20
UNC-97 C39D10.7
WDFY-2 D2092.1
Y57A10A.16 SEDL-1
T04H1.2 NAB-1
C12D8.1 CIDS-2
NHR-10 NHR-10
C12D8.1 TFG-1
MDF-2 T19B4.5
C36C9.1 F28D1.2
T12B3.4 IFC-2
NHR-111 F59C6.5
PRP-21 ATN-1
AAP-1 F37H8.3
T03F1.1 C40H1.6
TSG-101 ATN-1
HIS-71 C04A11.1
F08G12.2 BRP-1
CSN-6 VBH-1
T21C9.4 T21C9.4
EMB-30 C01H6.9
ZK858.2 MEI-1
C49G7.1 F33E11.3
CRM-1 CRM-1
F46G11.1 Y119C1A.1
K09B11.9 T05E11.8
UNC-97 F57G12.2
R06B9.3 ZK1098.4
Y17G7B.14 EBI-324450
SCRM-7 BRP-1
APC-11 CC8.1
F54D7.2 CYP-34A6
CRM-1 TYR-4
KNL-1 HCP-4
GEI-4 NFYB-1
GPR-1 PAB-1
CRM-1 TYR-1
CSN-4 PAL-1
Y54G9A.4 STAM-1
ZC434.8 Y48B6A.12
PQN-60 RPB-8
GLP-1 ZYG-8
VBH-1 VPS-4
CGH-1 EDC-3
C44B7.1 RPT-5
LMN-1 CUL-3
NHR-111 T06G6.3
MPK-1 C49C3.7
DRH-1 CCT-7
LEC-1 UNC-93
Y113G7B.15 PIE-1
TTR-54 MEI-2
MDT-15 NHR-49
TRP-2 LET-92
ABU-11 F25H2.5
GEI-4 Y62E10A.11
MDT-21 AMA-1
LMN-1 ELB-1
UAF-1 DAF-21
TBG-1 TRE-1
PAS-4 C48B6.3
RAN-1 EBI-324107
GEI-4 T09F3.1
C18B2.4 LYS-8
C24A3.2 TRS-1
PMK-1 R02F2.9
SMA-2 T01D3.5
MDF-2 SOP-2
HIM-10 F23H11.3
RPS-10 CC8.1
K09B11.9 NLP-42
ALP-1 C39D10.7
TAG-208 CYK-1
BIR-1 R12B2.2
NHR-49 EBI-324945
IMA-3 NPP-16
GLP-1 CPSF-4
DLC-1 C10G6.1
ZK849.2 ZIM-2
NXT-1 C31H1.8
RAD-54 NPP-11
GOA-1 AGS-3
MEK-2 LIN-45
DRH-1 PPFR-2
C08B11.9 K02F2.2
T04H1.2 W03F9.10
GEI-16 B0041.2
W02F12.5 MBK-2
RPS-10 M04G7.2
K09B11.9 Y57G11C.15
UAF-1 ASP-2
SUP-12 ASD-2
EBI-314130 F15C11.2
T04H1.2 ZTF-8
C05C8.6 DRE-1
SMA-4 C25H3.8
ALP-1 F29G6.3
UBXN-1 T09A5.12
Y71G12B.27 K01G5.5
PDK-1 PCM-1
PAS-7 T28C6.7
Y48G1C.1 R151.2
NSY-1 ZK945.7
C34D10.1 TAG-52
MIG-5 F57G12.2
T03G11.6 DPY-11
SMA-4 COL-140
ZK849.2 F52C6.2
KLC-2 KCA-1
PFD-2 SMO-1
PQN-5 ABU-11
Y17G7B.11 WWP-1
GLP-1 PBS-7
VHA-12 C45G9.5
F27C1.6 JMJD-2
UNC-39 EYA-1
Y17G9B.5 ATN-1
SUN-1 SMO-1
TAG-208 LIN-10
GEI-4 NHR-13
MRT-2 K10B4.4
HRS-1 ATN-1
GEI-4 B0414.8
TAG-331 FCD-2
EBP-2 H28O16.1
GEI-16 C06E7.4
LEV-11 CDK-9
NHR-111 T20D4.4
PMK-1 GSY-1
TBG-1 C44B7.5
CEH-40 R02F2.5
F48F7.7 Y55F3BR.2
DRH-1 F53A2.1
PMK-1 T12G3.1
RPN-2 SUP-17
GPR-1 F01F1.12
Y65B4BR.5 ICD-1
SGN-1 Y41E3.7
PQN-11 Y39B6A.11
EBI-1514941 VPS-4
EBI-486319 APC-11
MRT-2 T01C3.3
SET-1 PCN-1
ZYG-8 FBL-1
PQN-5 RPL-9
ALP-1 ATN-1
ZK930.3 EIF-3.D
PPTR-1 AKT-2
LIN-36 K06A4.5
T04H1.2 F54D10.7
KLC-2 CSN-5
LIN-2 TYR-1
APC-11 FTN-1
F53F10.2 GEI-16
PKC-3 EBI-495798
LEC-3 F26F2.3
IMA-3 IMB-3
EIF-3.D ALP-1
LSM-4 LSM-7
KIN-2 F01G4.6
RPN-10 OCRL-1
PDR-1 RPS-8
ULA-1 RFL-1
EXO-3 F33H2.6
GEI-16 F36G3.1
ALP-1 F57G12.2
T04H1.2 F57F5.1
UEV-1 NHR-91
GEI-4 NHR-12
D2045.9 ASNA-1
MIG-15 TTX-1
AMA-1 MDT-6
CSN-5 Y63D3A.4
MDF-2 TBP-1
ERI-1 RRF-3
SAS-4 R02F11.4
R06B9.3 R06B9.3
F42G9.6 HIS-41
SLI-1 RPL-7
AAK-2 ICD-1
D2045.9 F15C11.2
EBP-2 KEL-8
FEM-1 FEM-2
F46G11.1 SECS-1
F52E10.4 TAG-208
MFB-1 SDZ-18
APC-11 T22F7.5
CKS-1 HRD-1
GST-5 K04C1.4
DRH-1 EFT-2
GEI-16 F57F4.4
MPK-1 MLC-4
RPB-7 R144.2
ZEN-4 C27A12.7
PQN-54 T11B7.1
T25E4.1 R02F2.5
MPK-1 NHR-64
SAS-4 LMN-1
ICP-1 PYP-1
KIN-2 M142.5
DYS-1 DYB-1
TUB-1 RBG-3
CLEC-64 IMB-3
T20H4.5 RNF-1
LIN-2 HIF-1
GEI-4 K08D9.5
SMA-2 T20D3.3
RPS-10 K04C1.5
EBI-1179655 MIS-12
CES-1 B0507.1
ABU-11 RPL-43
GCL-1 F25H5.3
GST-23 F35G2.2
MES-4 PHAT-4
CAH-6 GBH-2
EBI-326062 EBI-318567
ATN-1 GST-14
ZEN-4 H04D03.1
KLC-2 C32E8.1
MIG-5 F52D1.1
IMB-2 LST-1
D2005.4 RAN-1
TAG-257 RHR-1
AIR-1 C47G2.5
LIT-1 C10G11.7
SEC-3 F28C10.1
DRH-1 R11A8.2
CDC-37 K04A8.3
ZYG-1 TAG-30
CAT-4 CAT-4
MIG-15 F11E6.3
GEI-16 TAG-163
GST-5 LIN-28
FEM-1 EBI-367214
GST-42 KEL-8
PPH-4.1 PPFR-3
RPN-1 B0252.3
SAS-5 IMB-3
SLI-1 Y105E8B.5
K09B11.9 EBI-324678
EBI-314130 CC8.1
GST-5 CAS-2
GEI-16 EAT-6
CUL-2 ZYG-11
GEI-4 SPDL-1
F40H3.2 SGT-1
F29C12.4 T01G9.2
IMB-2 EMB-9
RNR-1 F33E11.3
TAG-208 EPS-8
MRT-2 K06A4.5
DYB-1 ALX-1
EYA-1 GLA-3
MRT-2 T15B7.12
IMB-2 SQV-4
NSF-1 PAS-2
PQN-60 F32D8.4
APC-11 H10E21.4
F26B1.2 PIE-1
ERM-1 ASP-3
DRH-1 TAG-310
HCP-1 HCP-2
SMA-4 RPS-2
GOP-2 B0207.6
